survival_time,survival_rate,total_gains,gain,efficiency,equality,over_usage,gains_by_agent,scenario,model,run,Type
12,100.0,392.0,78.4,65.33333333333333,85.10204081632654,10.0,"{'persona_0': 93.0, 'persona_1': 88.0, 'persona_2': 36.0, 'persona_3': 75.0, 'persona_4': 100.0}",fishing_v6.4_final,Univ_alt_DeepSeek-R1-Distill-Llama-8B,rare-armadillo-608,run
5,0.0,235.0,47.0,39.16666666666667,85.87234042553192,48.0,"{'persona_0': 45.0, 'persona_1': 40.0, 'persona_2': 34.0, 'persona_3': 43.0, 'persona_4': 73.0}",fishing_v6.4_final,Univ_alt_DeepSeek-R1-Distill-Llama-8B,usual-oath-619,run
4,0.0,205.0,41.0,34.166666666666664,94.53658536585365,75.0,"{'persona_0': 44.0, 'persona_1': 46.0, 'persona_2': 43.0, 'persona_3': 36.0, 'persona_4': 36.0}",fishing_v6.4_final,Univ_alt_Meta-Llama-3-8B,dainty-voice-432,run
3,0.0,175.0,35.0,29.166666666666664,81.25714285714287,60.0,"{'persona_0': 44.0, 'persona_1': 50.0, 'persona_2': 26.0, 'persona_3': 37.0, 'persona_4': 18.0}",fishing_v6.4_final,Univ_alt_Meta-Llama-3-8B,dry-puddle-433,run
3,0.0,156.0,31.2,26.0,82.05128205128204,66.66666666666666,"{'persona_0': 30.0, 'persona_1': 34.0, 'persona_2': 24.0, 'persona_3': 19.0, 'persona_4': 49.0}",fishing_v6.4_final,Univ_alt_Meta-Llama-3-8B,glorious-sound-434,run
12,100.0,331.0,66.2,55.16666666666667,93.95770392749245,6.666666666666667,"{'persona_0': 62.0, 'persona_1': 75.0, 'persona_2': 72.0, 'persona_3': 67.0, 'persona_4': 55.0}",fishing_v6.4_final,Univ_alt_Meta-Llama-3-8B,lilac-firefly-427,run
3,0.0,186.0,37.2,31.000000000000007,78.92473118279571,40.0,"{'persona_0': 18.0, 'persona_1': 40.0, 'persona_2': 63.0, 'persona_3': 32.0, 'persona_4': 33.0}",fishing_v6.4_final,Univ_alt_Meta-Llama-3-8B,worldly-dust-393,run
2,0.0,122.0,24.4,20.333333333333336,71.47540983606558,50.0,"{'persona_0': 31.0, 'persona_1': 44.0, 'persona_2': 14.0, 'persona_3': 24.0, 'persona_4': 9.0}",fishing_v6.4_final,Univ_alt_Mistral-7B-Instruct-v0.2,dainty-bush-577,run
5,0.0,177.0,35.4,29.500000000000004,82.37288135593221,44.0,"{'persona_0': 35.0, 'persona_1': 57.0, 'persona_2': 34.0, 'persona_3': 31.0, 'persona_4': 20.0}",fishing_v6.4_final,Univ_alt_Mistral-7B-Instruct-v0.2,desert-river-546,run
1,0.0,100.0,20.0,16.666666666666664,58.400000000000006,40.0,"{'persona_0': 45.0, 'persona_1': 32.0, 'persona_2': 8.0, 'persona_3': 10.0, 'persona_4': 5.0}",fishing_v6.4_final,Univ_alt_Mistral-7B-Instruct-v0.2,dulcet-snowflake-573,run
